72#"#"#Benoit	Vaugrenard	#"#"#	500#"#"#	FDJ	#
73#"#"#Alexandr	Kolobnev	#"#"#	500#"#"#Gazprom - Rusvelo #
74#"#"#Aleksey	Rybalkin	#"#"#	500#"#"#Gazprom - Rusvelo #
75#"#"#Artur	Ershov	#"#"#	500#"#"#Gazprom - Rusvelo #
76#"#"#Sergey	Firsanov	#"#"#	1000#"#"#Gazprom - Rusvelo #
77#"#"#Alexander	Foliforov	#"#"#	500#"#"#Gazprom - Rusvelo #
78#"#"#Artem	Ovechkin	#"#"#	500#"#"#Gazprom - Rusvelo #
79#"#"#Ivan	Savitskiy	#"#"#	500#"#"#Gazprom - Rusvelo #
80#"#"#Alexander	Serov	#"#"#	500#"#"#Gazprom - Rusvelo #
81#"#"#Andrey	Solomennikov	#"#"#	500#"#"#Gazprom - Rusvelo #
82#"#"#Tom	Dumoulin	#"#"#	1500#"#"#Giant Alpecin #
83#"#"#Nikias	Arndt	#"#"#	500#"#"#Giant Alpecin #
84#"#"#Bert	DeBacker	#"#"#	500#"#"#Giant Alpecin #
85#"#"#Chad	Haga	#"#"#	500#"#"#Giant Alpecin #
86#"#"#Cheng	Ji	#"#"#	500#"#"#Giant Alpecin #
87#"#"#Tobias	Ludvigsson	#"#"#	500#"#"#Giant Alpecin #
88#"#"#Georg	Preidler	#"#"#	500#"#"#Giant Alpecin #
89#"#"#Tom	Stamsnijder	#"#"#	500#"#"#Giant Alpecin #
90#"#"#Albert	Timmer	#"#"#	500#"#"#Giant Alpecin #
91#"#"#Heinrich	Haussler	#"#"#	500#"#"#IAM Cycling #
92#"#"#Matthias	Brandle	#"#"#	500#"#"#IAM Cycling #
93#"#"#Leigh	Howard	#"#"#	500#"#"#IAM Cycling #
94#"#"#Roger	Kluge	#"#"#	500#"#"#IAM Cycling #
95#"#"#Matteo	Pelucchi	#"#"#	1000#"#"#IAM Cycling #
96#"#"#Stefan	Denifl	#"#"#	500#"#"#IAM Cycling #
97#"#"#Lawrence	Warbasse	#"#"#	500#"#"#IAM Cycling #
98#"#"#Marcel	Wyss	#"#"#	500#"#"#IAM Cycling #
99#"#"#Stake	Laengen Vegard	#"#"#	500#"#"#IAM Cycling #
100#"#"#Ilnur	Zakarin	#"#"#	2000#"#"#Katusha #
101#"#"#Maxim	Belkov	#"#"#	500#"#"#Katusha #
102#"#"#Pavel	Kochetkov	#"#"#	500#"#"#Katusha #
103#"#"#Viacheslav	Kuznetsov	#"#"#	500#"#"#Katusha #
104#"#"#Anton	Vorobyev	#"#"#	500#"#"#Katusha #
105#"#"#Alexander	Porsev	#"#"#	500#"#"#Katusha #
106#"#"#Egor	Silin	#"#"#	500#"#"#Katusha #
107#"#"#Rein	Taaramae	#"#"#	1000#"#"#Katusha #
108#"#"#Alexey	Tcatevitch	#"#"#	500#"#"#Katusha #
109#"#"#Diego	Ulissi	#"#"#	1000#"#"#Lampre Merida #
110#"#"#Valerio	Conti	#"#"#	500#"#"#Lampre Merida #
111#"#"#Roberto	Ferrari	#"#"#	500#"#"#Lampre Merida #
112#"#"#Ilia	Koshevoy	#"#"#	500#"#"#Lampre Merida #
113#"#"#Sacha	Modolo	#"#"#	1500#"#"#Lampre Merida #
114#"#"#Matej	Mohoric	#"#"#	500#"#"#Lampre Merida #
115#"#"#Manuele	Mori	#"#"#	500#"#"#Lampre Merida #
116#"#"#Przemyslaw	Niemiec	#"#"#	500#"#"#Lampre Merida #
117#"#"#Simone	Petilli	#"#"#	500#"#"#Lampre Merida #
118#"#"#Tim	Wellens	#"#"#	500#"#"#Lotto - Soudal #
119#"#"#Ytting	BakLars	#"#"#	500#"#"#Lotto - Soudal #
120#"#"#Sean	DeBie	#"#"#	500#"#"#Lotto - Soudal #
121#"#"#Andre Greipel #"#"#	2000#"#"#Lotto - Soudal #
122#"#"#Adam	Hansen	#"#"#	500#"#"#Lotto - Soudal #
123#"#"#Pim	Ligthart	#"#"#	500#"#"#Lotto - Soudal #
124#"#"#Maxime	Monfort	#"#"#	500#"#"#Lotto - Soudal #
125#"#"#Jurgen	Roelandts	#"#"#	500#"#"#Lotto - Soudal #
126#"#"#Jelle	Vanendert	#"#"#	500#"#"#Lotto - Soudal #
127#"#"#Steven	Kruijswijk	#"#"#	1000#"#"#LottoNL -  Jumbo #
128#"#"#Enrico	Battaglin	#"#"#	500#"#"#LottoNL -  Jumbo #
129#"#"#Moreno	Hofland	#"#"#	500#"#"#LottoNL -  Jumbo #
130#"#"#Twan	Castelijns	#"#"#	500#"#"#LottoNL -  Jumbo #
131#"#"#Martijn	Keizer	#"#"#	500#"#"#LottoNL -  Jumbo #
132#"#"#Primoz	Roglic	#"#"#	500#"#"#LottoNL -  Jumbo #
133#"#"#Bram	Tankink	#"#"#	500#"#"#LottoNL -  Jumbo #
134#"#"#Maarten	Tjallingii	#"#"#	500#"#"#LottoNL -  Jumbo #
135#"#"#Jos	VanEmden	#"#"#	500#"#"#LottoNL -  Jumbo #
136#"#"#Alejandro	Valverde	#"#"#	2500#"#"#Movistar #
137#"#"#Andrey	Amador	#"#"#	1000#"#"#Movistar #
138#"#"#Carlos	Betancur	#"#"#	500#"#"#Movistar #
139#"#"#Jose Herrada Lopez #"#"#	500#"#"#Movistar #
140#"#"#Javier	Moreno	#"#"#	500#"#"#Movistar #
141#"#"#Jose Joaquin	Rojas Gil	#"#"#	500#"#"#Movistar #
142#"#"#Rory	Sutherland	#"#"#	500#"#"#Movistar #
143#"#"#Jasha	Sutterlin	#"#"#	500#"#"#Movistar #
144#"#"#Giovanni	Visconti	#"#"#	500#"#"#Movistar #
145#"#"#Damiano	Cunego	#"#"#	500#"#"#Nippo - Vini Fintini #
146#"#"#Giacomo	Berlato	#"#"#	500#"#"#Nippo - Vini Fintini #
147#"#"#Alessandro	Bisolti	#"#"#	500#"#"#Nippo - Vini Fintini #
148#"#"#Grega	Bole	#"#"#	500#"#"#Nippo - Vini Fintini #
149#"#"#Riccardo	Stacchiotti	#"#"#	500#"#"#Nippo - Vini Fintini #
150#"#"#Iuri	Filosi	#"#"#	500#"#"#Nippo - Vini Fintini #
151#"#"#Eduard Michael	Grosu	#"#"#	500#"#"#Nippo - Vini Fintini #
152#"#"#Genki	Yamamoto	#"#"#	500#"#"#Nippo - Vini Fintini #
153#"#"#Gianfranco	Zilioli	#"#"#	500#"#"#Nippo - Vini Fintini #
154#"#"#Esteban	Chaves	#"#"#	1500#"#"#Orica Greenedge #
155#"#"#Sam	Bewley	#"#"#	500#"#"#Orica Greenedge #
156#"#"#Caleb	Ewan	#"#"#	1500#"#"#Orica Greenedge #
157#"#"#Michael	Hepburn	#"#"#	500#"#"#Orica Greenedge #
158#"#"#Damien	Howson	#"#"#	500#"#"#Orica Greenedge #
159#"#"#Luka	Mezgec	#"#"#	500#"#"#Orica Greenedge #
160#"#"#Ruben	Plaza Molina	#"#"#	500#"#"#Orica Greenedge #
161#"#"#Svein	Tuft	#"#"#	500#"#"#Orica Greenedge #
162#"#"#Amets	Txurruka	#"#"#	500#"#"#Orica Greenedge #
163#"#"#Filippo	Pozzato	#"#"#	500#"#"#Wilier Southeast #
164#"#"#Julen	Amerzqueta	#"#"#	500#"#"#Wilier Southeast #
165#"#"#Manuel	Belletti	#"#"#	500#"#"#Wilier Southeast #
166#"#"#Liam	Bertazzo	#"#"#	500#"#"#Wilier Southeast #
167#"#"#Matteo	Busato	#"#"#	500#"#"#Wilier Southeast #
168#"#"#Cristian	Rodriguez	#"#"#	500#"#"#Wilier Southeast #
169#"#"#Jakub	Mareczko	#"#"#	500#"#"#Wilier Southeast #
170#"#"#Daniel	Martinez	#"#"#	500#"#"#Wilier Southeast #
171#"#"#Eugert	Zhupa	#"#"#	500#"#"#Wilier Southeast #
172#"#"#Mikel	Landa	#"#"#	2500#"#"#Team Sky #
173#"#"#Ian	Boswell	#"#"#	500#"#"#Team Sky #
174#"#"#Philip	Deignan	#"#"#	500#"#"#Team Sky #
175#"#"#Sebastian	Henao	#"#"#	500#"#"#Team Sky #
176#"#"#Mikel	Nieve	#"#"#	500#"#"#Team Sky #
177#"#"#Christian	Knees	#"#"#	500#"#"#Team Sky #
178#"#"#David	Garcia Lopez	#"#"#	500#"#"#Team Sky #
179#"#"#Nicholas	Roche	#"#"#	500#"#"#Team Sky #
180#"#"#Elia	Viviani	#"#"#	2000#"#"#Team Sky #
181#"#"#Rafal	Majka	#"#"#	2000#"#"#Tinkoff #
182#"#"#Manuele	Boaro	#"#"#	500#"#"#Tinkoff #
183#"#"#Pavel	Brutt	#"#"#	500#"#"#Tinkoff #
184#"#"#Jesus	Hernandez	#"#"#	500#"#"#Tinkoff #
185#"#"#Jay	Mccarthy	#"#"#	500#"#"#Tinkoff #
186#"#"#Pawel	Poljanski	#"#"#	500#"#"#Tinkoff #
187#"#"#Ivan	Rovny	#"#"#	500#"#"#Tinkoff #
188#"#"#Evgeny	Petrov	#"#"#	500#"#"#Tinkoff #
189#"#"#Matteo	Tosatto	#"#"#	500#"#"#Tinkoff #
190#"#"#Ryder	Hesjedal	#"#"#	1000#"#"#Trek Segafredo #
191#"#"#Eugenio	Alafaci	#"#"#	500#"#"#Trek Segafredo #
192#"#"#Jack	Bobridge	#"#"#	500#"#"#Trek Segafredo #
193#"#"#Fabian	Cancellara	#"#"#	1000#"#"#Trek Segafredo #
194#"#"#Marco	Coledan	#"#"#	500#"#"#Trek Segafredo #
195#"#"#Laurent	Didier	#"#"#	500#"#"#Trek Segafredo #
196#"#"#Giacomo	Nizzolo	#"#"#	1500#"#"#Trek Segafredo #
197#"#"#Boy	VanPoppel	#"#"#	500#"#"#Trek Segafredo #
198#"#"#Riccardo	Zoidl	#"#"#	500#"#"#Trek Segafredo #
